,time,x,y,MV_x,MV_y
0,895.69,0.5309280395507813,0.24200439453125,1.8920049643694614,-4.150891068516617
1,895.72,0.563714599609375,0.233282470703125,1.7798597251680293,-4.5820749694508365
2,895.75,0.563714599609375,0.233282470703125,1.889867116072157,-4.161082290221092
3,895.78,0.5124740600585938,0.2251556396484375,1.7899165128857162,-3.527306377869845
4,895.81,0.45406036376953124,0.27154388427734377,2.5213326807976073,-3.3547326448275037
5,895.88,0.376629638671875,0.18045806884765625,1.3501082788384202,-3.67280874257305
6,895.91,0.38548431396484373,0.181048583984375,1.889823278009733,-4.287733266528312
7,895.93,0.35,0.15,1.3530220262601578,-3.5420088725164254
8,895.96,0.3,0.125,1.5307414579382919,-3.407089725209583
9,895.99,0.11536102294921875,0.09622955322265625,1.4967512697000633,-1.806544243023243
10,896.02,-0.09414825439453126,0.060638427734375,1.3873423212120501,-1.1918268932871783
11,896.05,-0.3017242431640625,0.03310394287109375,1.494886725238425,-1.3314420301622856
12,896.08,-0.5322662353515625,-0.0448089599609375,0.8113815073594188,-0.8846598613414542
13,896.12,-0.8112899780273437,-0.105645751953125,1.0143675017476261,-0.28991404660195963
14,896.15,-1.0741195678710938,-0.15117340087890624,1.2658659714626883,-0.608029651610646
15,896.18,-1.4098403930664063,-0.20622406005859376,1.010580980271219,0.8760198671416397
16,896.21,-1.6447402954101562,-0.26222076416015627,1.074488816675785,-0.6816301579406727
17,896.26,-1.9959304809570313,-0.32965087890625,1.1820414322550006,-0.5519688669639424
18,896.29,-2.275,-0.4,0.8317544278472264,0.1565820647263001
19,896.33,-2.5705024719238283,-0.476629638671875,0.698890792300812,0.5742815638930838
20,896.36,-2.915625,-0.53125,1.0279441349330152,1.0524685381156722
21,896.39,-3.2315933227539064,-0.5442306518554687,1.492123005270069,1.0464771897903793
22,896.42,-3.570928192138672,-0.5943817138671875,1.0406105140350603,1.1923256360046026
23,896.45,-3.8708335876464846,-0.6291671752929687,1.1877229437892252,1.0467672876740695
24,896.48,-4.13712158203125,-0.6881317138671875,0.8801685549006014,0.595909472972652
25,896.52,-4.404929351806641,-0.76309814453125,0.6260545770368118,0.8139661778061336
26,896.55,-4.6752685546875,-0.8152557373046875,0.9433984492286849,0.729770021744947
27,896.58,-4.9,-0.85,1.1286811916620245,0.34195849984695315
28,896.63,-5.144184112548828,-0.9121658325195312,1.0612975805459617,-0.4506911517486294
29,896.66,-5.353158569335937,-0.9770462036132812,0.6229464465732427,0.4982003269236488
30,896.69,-5.506885528564453,-1.0476425170898438,0.5832089564551461,-0.17714043223850506
31,896.72,-5.681723022460938,-1.0682769775390626,1.2185601545049662,0.03161165608613725
32,896.76,-5.85,-1.15,0.46634710740769914,-0.044965132386170836
33,896.79,-5.974555206298828,-1.1453994750976562,1.5160562133172133,-0.3677165364473247
34,896.82,-6.1,-1.2,0.7918055468342471,-0.4929305610641319
