,time,x,y,MV_x,MV_y
0,0.47,2.7651077270507813,-0.44135589599609376,0.0,0.0
1,0.51,2.7651077270507813,-0.44135589599609376,0.0,0.0
2,0.54,2.7681640625,-0.4381195068359375,0.0,0.0
3,0.57,2.7651077270507813,-0.44135589599609376,0.0,0.0
4,0.61,2.7651077270507813,-0.44135589599609376,0.0,0.0
5,0.64,2.7651077270507813,-0.44135589599609376,0.0,0.0
6,0.67,2.755143737792969,-0.434808349609375,0.0,0.0
7,0.7,2.7651077270507813,-0.44135589599609376,0.0,0.0
8,0.73,2.7651077270507813,-0.44135589599609376,0.0,0.0
9,0.76,2.7651077270507813,-0.44135589599609376,0.0,0.0
10,0.79,2.7651077270507813,-0.44135589599609376,0.0,0.0
11,0.83,2.7681640625,-0.4381195068359375,0.0,0.0
12,0.86,2.7651077270507813,-0.44135589599609376,0.0,0.0
13,0.91,2.7651077270507813,-0.44135589599609376,0.0,0.0
14,0.94,2.7651077270507813,-0.44135589599609376,0.0,0.0
15,0.97,2.7681640625,-0.4381195068359375,0.0,0.0
16,1.0,2.7651077270507813,-0.44135589599609376,0.0,0.0
17,1.03,2.7651077270507813,-0.44135589599609376,0.0,0.0
18,1.07,2.7651077270507813,-0.44135589599609376,0.0,0.0
19,1.1,2.755143737792969,-0.434808349609375,0.0,0.0
20,1.13,2.72794189453125,-0.42205810546875,0.0,0.0
21,1.16,2.7651077270507813,-0.44135589599609376,0.0,0.0
22,1.19,2.7651077270507813,-0.44135589599609376,0.0,0.0
23,1.23,2.7306304931640626,-0.43151702880859377,0.0,0.0
24,1.27,2.7651077270507813,-0.44135589599609376,0.0,0.0
25,1.31,2.7651077270507813,-0.44135589599609376,0.0,0.0
26,1.34,2.7651077270507813,-0.44135589599609376,0.0,0.0
27,1.37,2.7651077270507813,-0.44135589599609376,0.0,0.0
28,1.4,2.7651077270507813,-0.44135589599609376,0.0,0.0
29,1.43,2.7651077270507813,-0.44135589599609376,0.0,0.0
30,1.46,2.7651077270507813,-0.44135589599609376,0.0,0.0
31,1.5,2.7306304931640626,-0.43151702880859377,0.0,0.0
32,1.53,2.7651077270507813,-0.44135589599609376,0.0,0.0
33,1.56,2.7651077270507813,-0.44135589599609376,0.0,0.0
34,1.59,2.7651077270507813,-0.44135589599609376,0.0,0.0
35,1.63,2.72794189453125,-0.42205810546875,0.0,0.0
36,1.67,2.750897216796875,-0.41392364501953127,0.0,0.0
37,1.71,2.750897216796875,-0.41392364501953127,0.0,0.0
38,1.74,2.732041931152344,-0.43274688720703125,0.0,0.0
39,1.77,2.724873352050781,-0.441827392578125,0.0,0.0
40,1.8,2.7415695190429688,-0.5192657470703125,0.0,0.0
41,1.83,2.700823974609375,-0.4640106201171875,0.0,0.0
42,1.87,2.6778564453125,-0.45357208251953124,0.0,0.0
43,1.9,2.6917938232421874,-0.473504638671875,0.0,0.0
44,1.93,2.7202667236328124,-0.511871337890625,0.0,0.0
45,1.96,2.7122802734375,-0.5377197265625,0.0,0.0
46,1.99,2.7115814208984377,-0.5371322631835938,0.0,0.0
47,2.03,2.6883865356445313,-0.5157485961914062,0.0,0.0
48,2.08,2.7053512573242187,-0.4971771240234375,0.0,0.0
49,2.11,2.72021484375,-0.5236129760742188,0.0,0.0
50,2.14,2.6911636352539063,-0.4849853515625,0.0,0.0
51,2.17,2.6911636352539063,-0.4849853515625,0.0,0.0
52,2.2,2.722344970703125,-0.527655029296875,0.0,0.0
53,2.24,2.732499694824219,-0.5133331298828125,0.0,0.0
54,2.27,2.7115814208984377,-0.5371322631835938,0.0,0.0
55,2.3,2.721052551269531,-0.5289474487304687,0.0,0.0
56,2.33,2.719671630859375,-0.5281417846679688,0.0,0.0
57,2.36,2.721052551269531,-0.5289474487304687,0.0,0.0
58,2.39,2.721052551269531,-0.5289474487304687,0.0,0.0
59,2.43,2.719671630859375,-0.5281417846679688,0.0,0.0
60,2.47,2.714131164550781,-0.5358688354492187,0.0,0.0
61,2.5,2.7122802734375,-0.5377197265625,0.0,0.0
62,2.54,2.7053512573242187,-0.4971771240234375,0.0,0.0
63,2.57,2.719671630859375,-0.5281417846679688,0.0,0.0
64,2.6,2.717633056640625,-0.525799560546875,0.0,0.0
65,2.64,2.7173416137695314,-0.5326583862304688,0.0,0.0
66,2.67,2.719671630859375,-0.5281417846679688,0.0,0.0
67,2.7,2.6801361083984374,-0.4902130126953125,0.0,0.0
68,2.73,2.7144256591796876,-0.5134490966796875,0.0,0.0
69,2.76,2.6801361083984374,-0.4902130126953125,0.0,0.0
70,2.79,2.721052551269531,-0.5289474487304687,0.0,0.0
71,2.84,2.6911636352539063,-0.4849853515625,0.0,0.0
72,2.88,2.719671630859375,-0.5281417846679688,0.0,0.0
73,2.91,2.7053512573242187,-0.4971771240234375,0.0,0.0
74,2.94,2.7096511840820314,-0.5262069702148438,0.0,0.0
75,2.97,2.721052551269531,-0.5289474487304687,0.0,0.0
76,3.0,2.721052551269531,-0.5289474487304687,0.0,0.0
77,3.03,2.721052551269531,-0.5289474487304687,0.0,0.0
78,3.07,2.721052551269531,-0.5289474487304687,0.0,0.0
79,3.1,2.719671630859375,-0.5281417846679688,0.0,0.0
80,3.13,2.6801361083984374,-0.4902130126953125,0.0,0.0
81,3.16,2.7173416137695314,-0.5326583862304688,0.0,0.0
82,3.19,2.7144256591796876,-0.5134490966796875,0.0,0.0
83,3.24,2.721052551269531,-0.5289474487304687,0.0,0.0
84,3.27,2.714131164550781,-0.5358688354492187,0.0,0.0
85,3.31,2.719671630859375,-0.5281417846679688,0.0,0.0
86,3.34,2.7327178955078124,-0.5134231567382812,0.0,0.0
87,3.37,2.714131164550781,-0.5358688354492187,0.0,0.0
88,3.4,2.721052551269531,-0.5289474487304687,0.0,0.0
89,3.43,2.721052551269531,-0.5289474487304687,0.0,0.0
90,3.47,2.7327178955078124,-0.5134231567382812,0.0,0.0
91,3.5,2.7115814208984377,-0.48713226318359376,0.0,0.0
92,3.53,2.7173416137695314,-0.5326583862304688,0.0,0.0
93,3.56,2.6911636352539063,-0.4849853515625,0.0,0.0
94,3.59,2.7327178955078124,-0.5134231567382812,0.0,0.0
95,3.64,2.7115814208984377,-0.5371322631835938,0.0,0.0
96,3.68,2.7053512573242187,-0.4971771240234375,0.0,0.0
97,3.71,2.7122802734375,-0.5377197265625,0.0,0.0
98,3.74,2.7053512573242187,-0.4971771240234375,0.0,0.0
99,3.77,2.721052551269531,-0.5289474487304687,0.0,0.0
100,3.8,2.71610107421875,-0.5321090698242188,0.0,0.0
101,3.83,2.714131164550781,-0.5358688354492187,0.0,0.0
102,3.86,2.7144256591796876,-0.5134490966796875,0.0,0.0
103,3.9,2.721052551269531,-0.5289474487304687,0.0,0.0
104,3.93,2.7122802734375,-0.5377197265625,0.0,0.0
105,3.96,2.7132354736328126,-0.5352935791015625,0.0,0.0
106,3.99,2.721052551269531,-0.5289474487304687,0.0,0.0
107,4.04,2.719671630859375,-0.5281417846679688,0.0,0.0
108,4.07,2.719671630859375,-0.5281417846679688,0.0,0.0
109,4.11,2.721052551269531,-0.5289474487304687,0.0,0.0
110,4.14,2.721052551269531,-0.5289474487304687,0.0,0.0
111,4.17,2.719671630859375,-0.5281417846679688,0.0,0.0
112,4.2,2.7146224975585938,-0.5319625854492187,0.0,0.0
113,4.23,2.7115814208984377,-0.5371322631835938,0.0,0.0
114,4.27,2.719671630859375,-0.5281417846679688,0.0,0.0
115,4.3,2.7053512573242187,-0.4971771240234375,0.0,0.0
116,4.33,2.714131164550781,-0.5358688354492187,0.0,0.0
117,4.36,2.6801361083984374,-0.4902130126953125,0.0,0.0
118,4.39,2.719671630859375,-0.5281417846679688,0.0,0.0
119,4.44,2.714131164550781,-0.5358688354492187,0.0,0.0
120,4.47,2.719671630859375,-0.5281417846679688,0.0,0.0
121,4.51,2.7053512573242187,-0.4971771240234375,0.0,0.0
122,4.54,2.7388961791992186,-0.4760040283203125,0.0,0.0
123,4.57,2.7797332763671876,-0.488128662109375,0.0,0.0
124,4.6,2.828169250488281,-0.5348159790039062,0.0,0.0
125,4.63,2.8297332763671874,-0.488128662109375,0.0,0.0
126,4.67,2.8093246459960937,-0.47915496826171877,0.0,0.0
127,4.7,2.825,-0.45,0.0,0.0
128,4.73,2.78580322265625,-0.44247283935546877,0.0,0.0
129,4.76,2.7660186767578123,-0.42621307373046874,0.0,0.0
130,4.81,2.7518463134765625,-0.446661376953125,0.0,0.0
131,4.84,2.72794189453125,-0.42205810546875,0.0,0.0
132,4.87,2.7278564453125,-0.45357208251953124,0.0,0.0
133,4.91,2.7202667236328124,-0.511871337890625,0.0,0.0
134,4.94,2.714131164550781,-0.5358688354492187,0.0,0.0
135,4.97,2.725,-0.55,0.0,0.0
136,5.0,2.73013916015625,-0.5675003051757812,0.0,0.0
137,5.03,2.715380859375,-0.5498275756835938,0.0,0.0
138,5.07,2.7192291259765624,-0.5910614013671875,0.0,0.0
139,5.1,2.686077880859375,-0.5934326171875,0.0,0.0
140,5.13,2.6794189453125,-0.5920608520507813,0.0,0.0
141,5.16,2.6810272216796873,-0.6105804443359375,0.0,0.0
142,5.21,2.6504547119140627,-0.6073379516601562,0.0,0.0
143,5.24,2.625701904296875,-0.5994384765625,0.0,0.0
144,5.27,2.6319793701171874,-0.5864456176757813,0.0,0.0
145,5.31,2.6082672119140624,-0.570916748046875,0.0,0.0
146,5.34,2.6034942626953126,-0.5706985473632813,0.0,0.0
147,5.37,2.582203674316406,-0.5677963256835937,0.0,0.0
148,5.4,2.5377197265625,-0.5622802734375,0.0,0.0
149,5.43,2.525,-0.55,0.0,0.0
150,5.47,2.5165313720703124,-0.5418212890625,0.0,0.0
151,5.5,2.471302795410156,-0.503961181640625,0.0,0.0
152,5.53,2.48330078125,-0.5516403198242188,0.0,0.0
153,5.56,2.473028564453125,-0.50966796875,0.0,0.0
154,5.61,2.4056915283203124,-0.487774658203125,0.0,0.0
155,5.64,2.416581726074219,-0.5263397216796875,0.0,0.0
156,5.68,2.4082763671875,-0.48505859375,0.0,0.0
157,5.71,2.3778305053710938,-0.508404541015625,0.0,0.0
158,5.74,2.3600204467773436,-0.5332275390625,0.0,0.0
159,5.77,2.348077392578125,-0.5447113037109375,0.0,0.0
160,5.8,2.3202392578125,-0.5127365112304687,0.0,0.0
161,5.83,2.28604736328125,-0.5322952270507812,0.0,0.0
162,5.86,2.2047821044921876,-0.5247268676757812,0.0,0.0
163,5.9,2.1710281372070312,-0.5345672607421875,0.0,0.0
164,5.93,2.129167175292969,-0.5625,0.0,0.0
165,5.96,2.0965652465820312,-0.6582275390625,0.0,0.0
166,6.01,2.04656982421875,-0.6801300048828125,0.0,0.0
167,6.04,1.96263427734375,-0.73736572265625,0.0,0.0
168,6.07,1.9018341064453126,-0.8059982299804688,0.0,0.0
169,6.11,1.777362060546875,-0.8182235717773437,0.0,0.0
170,6.14,1.6952972412109375,-0.8399276733398438,0.0,0.0
171,6.17,1.5972579956054687,-0.9182205200195312,0.0,0.0
172,6.2,1.4743072509765625,-1.0037689208984375,0.0,0.0
173,6.23,1.3698272705078125,-1.082586669921875,0.0,0.0
174,6.27,1.2472793579101562,-1.1040817260742188,0.0,0.0
175,6.3,1.0605636596679688,-1.1802810668945312,0.0,0.0
176,6.33,0.9545547485351562,-1.2654861450195312,0.0,0.0
177,6.36,0.8117019653320312,-1.3707443237304688,0.0,0.0
178,6.41,0.669049072265625,-1.4005233764648437,0.0,0.0
179,6.44,0.5152450561523437,-1.5122207641601562,0.0,0.0
180,6.47,0.3324462890625,-1.4888290405273437,0.0,0.0
181,6.51,0.17690582275390626,-1.5275909423828125,0.0,0.0
182,6.54,0.025,-1.55625,0.0,0.0
183,6.57,-0.1156585693359375,-1.5449661254882812,0.0,0.0
