,time,x,y,MV_x,MV_y
0,10.02,4.55,-14.85,-20.0,-20.0
1,10.04,4.55,-14.85,-4.523271059989929,-1.3859180688858033
2,10.06,4.325,-14.825,-4.0806098708441185,2.598014165523292
3,10.11,3.825262451171875,-14.420526123046875,-1.2990165552746187,2.7351635466290976
4,10.15,3.525,-13.625,6.098725723277128,2.79720062735944
5,10.18,3.459234619140625,-13.0067626953125,3.5101875899881594,-0.26298266824475164
6,10.21,3.1229568481445313,-12.406365966796875,3.9522242947473742,3.385046314495834
7,10.24,2.5320556640625,-11.70352783203125,5.490564757454269,6.853650475688236
8,10.27,2.1653976440429688,-11.057254028320312,4.44849965759673,3.7832662700992232
9,10.31,1.7748580932617188,-10.393826293945313,5.112959798859906,4.340726692681293
10,10.34,1.546307373046875,-9.826846313476562,4.080233875225309,2.384671055608579
11,10.37,1.425,-9.117857360839844,6.073686460239041,1.0805833386239145
12,10.42,1.2540985107421876,-8.452877807617188,3.0472633599361787,1.0672760114672275
13,10.44,1.2540985107421876,-8.452877807617188,-2.57303194651744,-0.3817440173229261
14,10.46,1.0330245971679688,-8.025,5.713625463680977,3.8991461270392036
15,10.51,0.76541748046875,-7.156813049316407,4.091831638474063,1.7092630502182675
16,10.54,0.7301727294921875,-6.783621215820313,2.902501039769658,0.24672388659621083
17,10.58,0.80738525390625,-6.453446960449218,2.0261764968711273,-1.1840728751752845
18,10.61,0.9653701782226562,-6.263517761230469,0.45631803225096873,-2.2716976590408438
19,10.64,1.1098724365234376,-6.093896484375,0.12698504854880904,-2.041406247346079
20,10.67,1.277838134765625,-6.136135864257812,-2.4412098318922766,-2.6320897031629595
21,10.71,1.474176025390625,-6.209065246582031,-2.7876860219628004,-2.8318190134737025
22,10.74,1.72437744140625,-6.330809020996094,-3.46323354148008,-3.659394012717622
23,10.79,1.9648300170898438,-6.685169982910156,-5.024468074472797,-2.6132724913082943
24,10.82,2.378797912597656,-6.949472045898437,-5.434934028386511,-5.906375032153133
25,10.84,2.378797912597656,-6.949472045898437,-2.1140120375278637,-0.7236243830990862
26,10.86,2.729716491699219,-7.309906005859375,-9.092994025125872,-7.518362293267866
27,10.91,3.275,-7.725,-5.477384114652577,-5.059260744290767
28,10.94,3.494190979003906,-7.891963195800781,-4.572137417274901,-3.899864205498459
29,10.98,3.673542785644531,-8.017376708984376,-4.025037882569086,-3.368706912476191
30,11.01,3.8552597045898436,-8.093759155273437,-3.435204694065188,-3.4539479435030516
31,11.04,3.9622177124023437,-8.148881530761718,-3.1489180326621904,-2.4746492777730507
32,11.07,4.066471862792969,-8.228134155273438,-3.5123016560732943,-2.5498839182831117
33,11.11,4.0990478515625,-8.235426330566407,-2.6116296943562074,-1.630900594843075
34,11.14,3.9931625366210937,-7.981716918945312,1.060638278450217,0.24021785367781037
35,11.19,3.8867538452148436,-7.740177917480469,-0.38231432057624504,-0.3160598671374594
36,11.21,3.8867538452148436,-7.740177917480469,-2.3576375281123183,-1.1838948439826342
37,11.23,3.6688522338867187,-7.3201416015625,6.180036548870893,3.2451044632573636
38,11.25,3.4585113525390625,-6.879862976074219,5.915687891110828,2.7739274051436262
39,11.31,2.8184722900390624,-5.821043395996094,5.016314528169281,3.2510341671452228
40,11.35,2.5539260864257813,-5.276239013671875,4.610357246688084,2.2411880717113872
