,time,x,y
228,1.32,100.0,100.0
229,1.32,100.0,100.0
230,1.32,100.0,100.0
231,1.32,100.0,100.0
232,1.33,100.0,100.0
233,1.33,100.0,100.0
234,1.33,100.0,100.0
235,1.33,100.0,100.0
236,1.33,100.0,100.0
237,1.34,100.0,100.0
238,1.34,100.0,100.0
239,1.34,100.0,100.0
240,1.34,100.0,100.0
241,1.34,100.0,100.0
242,1.35,100.0,100.0
243,1.35,100.0,100.0
244,1.35,100.0,100.0
245,1.35,100.0,100.0
246,1.35,100.0,100.0
247,1.36,100.0,100.0
248,1.36,100.0,100.0
249,1.36,100.0,100.0
250,1.36,100.0,100.0
251,1.36,100.0,100.0
252,1.37,100.0,100.0
253,1.37,100.0,100.0
254,1.37,100.0,100.0
255,1.37,100.0,100.0
256,1.37,100.0,100.0
257,1.38,100.0,100.0
258,1.38,100.0,100.0
259,1.38,100.0,100.0
260,1.38,100.0,100.0
261,1.38,100.0,100.0
262,1.39,100.0,100.0
263,1.39,100.0,100.0
264,1.39,100.0,100.0
265,1.39,100.0,100.0
266,1.39,100.0,100.0
267,1.4,100.0,100.0
268,1.4,100.0,100.0
269,1.4,100.0,100.0
270,1.4,100.0,100.0
271,1.4,100.0,100.0
272,1.41,100.0,100.0
273,1.41,100.0,100.0
274,1.41,100.0,100.0
275,1.41,100.0,100.0
276,1.41,100.0,100.0
277,1.42,100.0,100.0
278,1.42,100.0,100.0
279,1.42,100.0,100.0
280,1.42,100.0,100.0
281,1.42,100.0,100.0
282,1.43,100.0,100.0
283,1.43,100.0,100.0
284,1.43,100.0,100.0
285,1.43,100.0,100.0
286,1.43,100.0,100.0
287,1.44,100.0,100.0
288,1.44,100.0,100.0
289,1.44,100.0,100.0
290,1.44,100.0,100.0
291,1.44,100.0,100.0
292,1.45,100.0,100.0
293,1.45,100.0,100.0
294,1.45,100.0,100.0
295,1.45,100.0,100.0
296,1.45,100.0,100.0
297,1.46,100.0,100.0
298,1.46,100.0,100.0
299,1.46,100.0,100.0
300,1.46,100.0,100.0
301,1.46,100.0,100.0
302,1.47,100.0,100.0
303,1.47,100.0,100.0
304,1.47,100.0,100.0
305,1.47,100.0,100.0
306,1.47,100.0,100.0
307,1.48,100.0,100.0
308,1.48,100.0,100.0
309,1.48,100.0,100.0
310,1.48,100.0,100.0
311,1.48,100.0,100.0
312,1.49,100.0,100.0
313,1.49,100.0,100.0
314,1.49,100.0,100.0
315,1.49,100.0,100.0
316,1.49,100.0,100.0
317,1.5,100.0,100.0
318,1.5,100.0,100.0
319,1.5,100.0,100.0
320,1.5,100.0,100.0
321,1.5,100.0,100.0
322,1.51,100.0,100.0
323,1.51,100.0,100.0
324,1.51,100.0,100.0
325,1.51,100.0,100.0
326,1.51,100.0,100.0
327,1.52,100.0,100.0
328,1.52,100.0,100.0
329,1.52,100.0,100.0
330,1.52,100.0,100.0
331,1.52,100.0,100.0
332,1.53,100.0,100.0
333,1.53,100.0,100.0
334,1.53,100.0,100.0
335,1.53,100.0,100.0
336,1.53,100.0,100.0
337,1.54,100.0,100.0
338,1.54,100.0,100.0
339,1.54,100.0,100.0
340,1.54,100.0,100.0
341,1.54,100.0,100.0
342,1.55,100.0,100.0
343,1.55,100.0,100.0
344,1.55,100.0,100.0
345,1.55,100.0,100.0
346,1.55,100.0,100.0
347,1.56,100.0,100.0
348,1.56,100.0,100.0
349,1.56,100.0,100.0
350,1.56,100.0,100.0
351,1.56,100.0,100.0
352,1.57,100.0,100.0
353,1.57,100.0,100.0
354,1.57,100.0,100.0
355,1.57,100.0,100.0
356,1.57,100.0,100.0
357,1.58,100.0,100.0
358,1.58,100.0,100.0
359,1.58,100.0,100.0
360,1.58,100.0,100.0
361,1.58,100.0,100.0
362,1.59,100.0,100.0
363,1.59,100.0,100.0
364,1.59,100.0,100.0
365,1.59,100.0,100.0
366,1.59,100.0,100.0
367,1.6,100.0,100.0
368,1.6,100.0,100.0
369,1.6,100.0,100.0
370,1.6,100.0,100.0
371,1.6,100.0,100.0
372,1.61,100.0,100.0
373,1.61,100.0,100.0
374,1.61,100.0,100.0
375,1.61,100.0,100.0
376,1.61,100.0,100.0
377,1.62,100.0,100.0
378,1.62,100.0,100.0
379,1.62,100.0,100.0
380,1.62,100.0,100.0
381,1.62,100.0,100.0
382,1.63,100.0,100.0
383,1.63,100.0,100.0
384,1.63,100.0,100.0
385,1.63,100.0,100.0
386,1.63,100.0,100.0
387,1.64,100.0,100.0
388,1.64,100.0,100.0
389,1.64,100.0,100.0
390,1.64,100.0,100.0
391,1.64,100.0,100.0
392,1.65,100.0,100.0
393,1.65,100.0,100.0
394,1.65,100.0,100.0
395,1.65,100.0,100.0
396,1.65,100.0,100.0
397,1.66,100.0,100.0
398,1.66,100.0,100.0
399,1.66,100.0,100.0
400,1.66,100.0,100.0
401,1.66,100.0,100.0
402,1.67,100.0,100.0
403,1.67,100.0,100.0
404,1.67,100.0,100.0
405,1.67,100.0,100.0
406,1.67,100.0,100.0
407,1.68,100.0,100.0
408,1.68,100.0,100.0
409,1.68,100.0,100.0
410,1.68,100.0,100.0
411,1.68,100.0,100.0
412,1.69,100.0,100.0
413,1.69,100.0,100.0
414,1.69,100.0,100.0
415,1.69,100.0,100.0
416,1.69,100.0,100.0
417,1.7,100.0,100.0
418,1.7,100.0,100.0
419,1.7,100.0,100.0
420,1.7,100.0,100.0
421,1.7,100.0,100.0
422,1.71,100.0,100.0
423,1.71,100.0,100.0
424,1.71,100.0,100.0
425,1.71,100.0,100.0
426,1.71,100.0,100.0
427,1.72,100.0,100.0
428,1.72,100.0,100.0
429,1.72,100.0,100.0
430,1.72,100.0,100.0
431,1.72,100.0,100.0
432,1.73,100.0,100.0
433,1.73,100.0,100.0
434,1.73,100.0,100.0
435,1.73,100.0,100.0
436,1.73,100.0,100.0
437,1.74,100.0,100.0
438,1.74,100.0,100.0
439,1.74,100.0,100.0
440,1.74,100.0,100.0
441,1.74,100.0,100.0
442,1.75,100.0,100.0
443,1.75,100.0,100.0
444,1.75,100.0,100.0
445,1.75,100.0,100.0
446,1.75,100.0,100.0
447,1.76,100.0,100.0
448,1.76,100.0,100.0
449,1.76,100.0,100.0
450,1.76,100.0,100.0
451,1.76,100.0,100.0
452,1.77,100.0,100.0
453,1.77,100.0,100.0
454,1.77,100.0,100.0
455,1.77,100.0,100.0
456,1.77,100.0,100.0
457,1.78,100.0,100.0
458,1.78,100.0,100.0
459,1.78,100.0,100.0
460,1.78,100.0,100.0
461,1.78,100.0,100.0
462,1.79,100.0,100.0
463,1.79,100.0,100.0
464,1.79,100.0,100.0
465,1.79,100.0,100.0
466,1.79,100.0,100.0
467,1.8,100.0,100.0
468,1.8,100.0,100.0
469,1.8,100.0,100.0
470,1.8,100.0,100.0
471,1.8,100.0,100.0
472,1.81,100.0,100.0
473,1.81,100.0,100.0
474,1.81,100.0,100.0
475,1.83,100.0,100.0
476,1.84,100.0,100.0
477,1.86,100.0,100.0
478,1.88,100.0,100.0
479,1.88,100.0,100.0
480,1.88,100.0,100.0
481,1.88,100.0,100.0
482,1.88,100.0,100.0
483,1.89,100.0,100.0
484,1.89,100.0,100.0
485,1.89,100.0,100.0
486,1.89,100.0,100.0
487,1.89,100.0,100.0
488,1.9,100.0,100.0
489,1.9,100.0,100.0
490,1.9,100.0,100.0
491,1.9,100.0,100.0
492,1.9,100.0,100.0
493,1.91,100.0,100.0
494,1.91,100.0,100.0
495,1.91,100.0,100.0
496,1.91,100.0,100.0
497,1.91,100.0,100.0
498,1.92,100.0,100.0
499,1.92,100.0,100.0
500,1.92,100.0,100.0
501,1.92,100.0,100.0
502,1.92,100.0,100.0
503,1.93,100.0,100.0
504,1.93,100.0,100.0
505,1.93,100.0,100.0
506,1.93,100.0,100.0
507,1.93,100.0,100.0
508,1.94,100.0,100.0
509,1.94,100.0,100.0
510,1.94,100.0,100.0
511,1.94,100.0,100.0
512,1.94,100.0,100.0
513,1.95,100.0,100.0
514,1.95,100.0,100.0
515,1.95,100.0,100.0
516,1.95,100.0,100.0
517,1.95,100.0,100.0
518,1.96,100.0,100.0
519,1.96,100.0,100.0
520,1.96,100.0,100.0
521,1.96,100.0,100.0
522,1.96,100.0,100.0
523,1.97,100.0,100.0
524,1.97,100.0,100.0
525,1.97,100.0,100.0
526,1.97,100.0,100.0
527,1.97,100.0,100.0
528,1.98,100.0,100.0
529,1.98,100.0,100.0
530,1.98,100.0,100.0
531,1.98,100.0,100.0
532,1.98,100.0,100.0
533,1.99,100.0,100.0
534,1.99,100.0,100.0
535,1.99,100.0,100.0
536,1.99,100.0,100.0
537,1.99,100.0,100.0
538,2.0,100.0,100.0
539,2.0,100.0,100.0
540,2.0,100.0,100.0
541,2.0,100.0,100.0
542,2.0,100.0,100.0
543,2.01,100.0,100.0
544,2.01,100.0,100.0
545,2.01,100.0,100.0
546,2.01,100.0,100.0
547,2.01,100.0,100.0
548,2.02,100.0,100.0
549,2.02,100.0,100.0
550,2.02,100.0,100.0
551,2.02,100.0,100.0
552,2.02,100.0,100.0
553,2.03,100.0,100.0
554,2.03,100.0,100.0
555,2.03,100.0,100.0
556,2.03,100.0,100.0
557,2.03,100.0,100.0
558,2.04,100.0,100.0
559,2.04,100.0,100.0
560,2.04,100.0,100.0
561,2.04,100.0,100.0
562,2.04,100.0,100.0
563,2.05,100.0,100.0
564,2.05,100.0,100.0
565,2.05,100.0,100.0
566,2.05,100.0,100.0
567,2.05,100.0,100.0
568,2.06,100.0,100.0
569,2.06,100.0,100.0
570,2.06,100.0,100.0
571,2.06,100.0,100.0
572,2.06,100.0,100.0
573,2.06,100.0,100.0
574,2.07,100.0,100.0
575,2.07,100.0,100.0
576,2.07,100.0,100.0
577,2.07,100.0,100.0
578,2.07,100.0,100.0
579,2.08,100.0,100.0
580,2.08,100.0,100.0
581,2.08,100.0,100.0
582,2.08,100.0,100.0
583,2.08,100.0,100.0
584,2.09,100.0,100.0
585,2.09,100.0,100.0
586,2.09,100.0,100.0
587,2.09,100.0,100.0
588,2.09,100.0,100.0
589,2.1,100.0,100.0
590,2.1,100.0,100.0
591,2.1,100.0,100.0
592,2.1,100.0,100.0
593,2.1,100.0,100.0
594,2.11,100.0,100.0
595,2.11,100.0,100.0
596,2.11,100.0,100.0
597,2.11,100.0,100.0
598,2.11,100.0,100.0
599,2.12,100.0,100.0
600,2.12,100.0,100.0
601,2.12,100.0,100.0
602,2.12,100.0,100.0
603,2.12,100.0,100.0
604,2.13,100.0,100.0
605,2.13,100.0,100.0
606,2.13,100.0,100.0
607,2.13,100.0,100.0
608,2.13,100.0,100.0
609,2.14,100.0,100.0
610,2.14,100.0,100.0
611,2.14,100.0,100.0
612,2.14,100.0,100.0
613,2.14,100.0,100.0
614,2.15,100.0,100.0
615,2.15,100.0,100.0
616,2.15,100.0,100.0
617,2.15,100.0,100.0
618,2.15,100.0,100.0
619,2.16,100.0,100.0
620,2.16,100.0,100.0
621,2.16,100.0,100.0
622,2.16,100.0,100.0
623,2.16,100.0,100.0
624,2.17,100.0,100.0
625,2.17,100.0,100.0
626,2.17,100.0,100.0
627,2.17,100.0,100.0
628,2.17,100.0,100.0
629,2.18,100.0,100.0
630,2.18,100.0,100.0
631,2.18,100.0,100.0
632,2.18,100.0,100.0
633,2.18,100.0,100.0
634,2.19,100.0,100.0
635,2.19,100.0,100.0
636,2.2,100.0,100.0
637,2.2,100.0,100.0
638,2.2,100.0,100.0
639,2.2,100.0,100.0
640,2.2,100.0,100.0
641,2.21,100.0,100.0
642,2.21,100.0,100.0
643,2.21,100.0,100.0
644,2.21,100.0,100.0
645,2.21,100.0,100.0
646,2.22,100.0,100.0
647,2.22,100.0,100.0
648,2.22,100.0,100.0
649,2.22,100.0,100.0
